     anio              lenguaje  toxicity  severe_toxicity   obscene  identity_attack    insult    threat
80   2005                French  0.000604         0.000125  0.000175         0.000146  0.000177  0.000136
81   2005              Friulian  0.000624         0.000123  0.000173         0.000145  0.000176  0.000134
82   2005                German  0.000650         0.000121  0.000175         0.000145  0.000176  0.000133
83   2005             Icelandic  0.000627         0.000124  0.000177         0.000146  0.000177  0.000136
84   2005                 Iloko  0.000696         0.000118  0.000181         0.000144  0.000176  0.000128
85   2005           Interlingua  0.000731         0.000114  0.000175         0.000141  0.000174  0.000125
86   2005                 Irish  0.000583         0.000127  0.000176         0.000147  0.000177  0.000138
87   2005               Italian  0.000608         0.000124  0.000176         0.000145  0.000176  0.000134
88   2005                 Latin  0.000660         0.000120  0.000176         0.000143  0.000176  0.000132
89   2005       Mayan Languages  0.000589         0.000125  0.000176         0.000146  0.000176  0.000132
90   2005        Middle English  0.000586         0.000127  0.000176         0.000146  0.000177  0.000136
91   2005             Norwegian  0.000631         0.000121  0.000176         0.000143  0.000176  0.000131
92   2005                Polish  0.000719         0.000116  0.000175         0.000144  0.000177  0.000130
93   2005            Portuguese  0.000613         0.000125  0.000176         0.000146  0.000177  0.000136
94   2005               Russian  0.000626         0.000122  0.000176         0.000144  0.000175  0.000134
95   2005              Sanskrit  0.000576         0.000127  0.000177         0.000146  0.000175  0.000134
96   2005               Serbian  0.000585         0.000127  0.000177         0.000145  0.000175  0.000136
97   2005               Spanish  0.000599         0.000125  0.000176         0.000146  0.000176  0.000135
98   2005               Swedish  0.000641         0.000122  0.000178         0.000144  0.000176  0.000133
99   2005               Tagalog  0.000633         0.000122  0.000177         0.000145  0.000176  0.000132
100  2005                 Welsh  0.000681         0.000120  0.000179         0.000143  0.000175  0.000131
101  2006             Afrikaans  0.000680         0.000119  0.000175         0.000143  0.000176  0.000133
102  2006               Catalan  0.000611         0.000124  0.000175         0.000145  0.000176  0.000134
103  2006                Danish  0.000625         0.000121  0.000175         0.000144  0.000176  0.000129
104  2006                 Dutch  0.000634         0.000122  0.000175         0.000145  0.000176  0.000133
105  2006               English  0.000907         0.000128  0.000419         0.000161  0.000202  0.000136
106  2006             Esperanto  0.000608         0.000124  0.000175         0.000145  0.000175  0.000133
107  2006               Finnish  0.000630         0.000123  0.000176         0.000145  0.000176  0.000134
108  2006                French  0.000602         0.000125  0.000175         0.000146  0.000177  0.000136
109  2006               Frisian  0.000610         0.000125  0.000174         0.000145  0.000176  0.000136
110  2006                German  0.000661         0.000121  0.000175         0.000145  0.000177  0.000134
111  2006                 Greek  0.000568         0.000130  0.000181         0.000145  0.000177  0.000138
112  2006                Hebrew  0.000608         0.000125  0.000173         0.000148  0.000175  0.000136
113  2006             Hungarian  0.000643         0.000122  0.000174         0.000146  0.000176  0.000134
114  2006             Icelandic  0.000656         0.000121  0.000180         0.000144  0.000177  0.000133
115  2006               Italian  0.000621         0.000123  0.000175         0.000145  0.000176  0.000133
116  2006                 Latin  0.000641         0.000122  0.000174         0.000144  0.000177  0.000134
117  2006  Napoletano-Calabrese  0.000641         0.000120  0.000173         0.000145  0.000176  0.000131
118  2006               Occitan  0.000628         0.000121  0.000174         0.000144  0.000175  0.000130
119  2006                Polish  0.000677         0.000118  0.000174         0.000144  0.000173  0.000130
120  2006            Portuguese  0.000616         0.000124  0.000176         0.000145  0.000176  0.000135
121  2006               Spanish  0.000613         0.000124  0.000175         0.000146  0.000176  0.000135
122  2006               Swedish  0.000602         0.000125  0.000176         0.000145  0.000177  0.000134
123  2006               Tagalog  0.000663         0.000121  0.000179         0.000145  0.000175  0.000130
124  2006                 Welsh  0.000605         0.000124  0.000172         0.000147  0.000176  0.000136
125  2007               Arapaho  0.000592         0.000125  0.000179         0.000144  0.000175  0.000133
126  2007                Breton  0.000652         0.000119  0.000175         0.000144  0.000174  0.000130
127  2007               Catalan  0.000591         0.000126  0.000176         0.000146  0.000176  0.000135
128  2007               Cebuano  0.000598         0.000126  0.000178         0.000147  0.000176  0.000138
129  2007               Chinese  0.000613         0.000124  0.000176         0.000144  0.000176  0.000134
130  2007                 Dutch  0.000677         0.000121  0.000176         0.000145  0.000178  0.000133
